matrix_size,processes,total_time,comm_time,comp_time,error_time,other_time,comm_percent,comp_percent,error_percent,efficiency,iterations
matrix_size=1024x100,processes=4,total_time=0.018089,comm_time=0.001354,comp_time=0.004076,error_time=0.012261,other_time=0.000398,comm_percent=7.5,comp_percent=22.5,error_percent=67.8,efficiency=0.225,iterations=100
matrix_size=1024x100,processes=8,total_time=0.011543,comm_time=0.002603,comp_time=0.002002,error_time=0.008483,other_time=-0.001546,comm_percent=22.6,comp_percent=17.3,error_percent=73.5,efficiency=0.173,iterations=100
matrix_size=1024x100,processes=12,total_time=0.009290,comm_time=0.014179,comp_time=0.001258,error_time=0.007381,other_time=-0.013529,comm_percent=152.6,comp_percent=13.5,error_percent=79.5,efficiency=0.135,iterations=100
matrix_size=1024x100,processes=24,total_time=0.053643,comm_time=0.095055,comp_time=0.000872,error_time=0.052594,other_time=-0.094879,comm_percent=177.2,comp_percent=1.6,error_percent=98.0,efficiency=0.016,iterations=100
matrix_size=2048x100,processes=4,total_time=0.037933,comm_time=0.001989,comp_time=0.009988,error_time=0.024092,other_time=0.001864,comm_percent=5.2,comp_percent=26.3,error_percent=63.5,efficiency=0.263,iterations=100
matrix_size=2048x100,processes=8,total_time=0.019889,comm_time=0.002731,comp_time=0.004135,error_time=0.014040,other_time=-0.001017,comm_percent=13.7,comp_percent=20.8,error_percent=70.6,efficiency=0.208,iterations=100
matrix_size=2048x100,processes=12,total_time=0.019814,comm_time=0.009901,comp_time=0.002609,error_time=0.016055,other_time=-0.008751,comm_percent=50.0,comp_percent=13.2,error_percent=81.0,efficiency=0.132,iterations=100
matrix_size=2048x100,processes=24,total_time=0.036116,comm_time=0.074897,comp_time=0.001478,error_time=0.034167,other_time=-0.074425,comm_percent=207.4,comp_percent=4.1,error_percent=94.6,efficiency=0.041,iterations=100
matrix_size=4096x100,processes=4,total_time=0.081311,comm_time=0.004101,comp_time=0.022632,error_time=0.047365,other_time=0.007212,comm_percent=5.0,comp_percent=27.8,error_percent=58.3,efficiency=0.278,iterations=100
matrix_size=4096x100,processes=8,total_time=0.038353,comm_time=0.004106,comp_time=0.009671,error_time=0.025059,other_time=-0.000483,comm_percent=10.7,comp_percent=25.2,error_percent=65.3,efficiency=0.252,iterations=100
matrix_size=4096x100,processes=12,total_time=0.027283,comm_time=0.004627,comp_time=0.006440,error_time=0.018462,other_time=-0.002246,comm_percent=17.0,comp_percent=23.6,error_percent=67.7,efficiency=0.236,iterations=100
matrix_size=4096x100,processes=24,total_time=0.042919,comm_time=0.080591,comp_time=0.002751,error_time=0.039087,other_time=-0.079510,comm_percent=187.8,comp_percent=6.4,error_percent=91.1,efficiency=0.064,iterations=100
matrix_size=8192x100,processes=4,total_time=0.155686,comm_time=0.005403,comp_time=0.042960,error_time=0.090163,other_time=0.017161,comm_percent=3.5,comp_percent=27.6,error_percent=57.9,efficiency=0.276,iterations=100
matrix_size=8192x100,processes=8,total_time=0.083043,comm_time=0.007388,comp_time=0.022809,error_time=0.049339,other_time=0.003507,comm_percent=8.9,comp_percent=27.5,error_percent=59.4,efficiency=0.275,iterations=100
matrix_size=8192x100,processes=12,total_time=0.056000,comm_time=0.008361,comp_time=0.014420,error_time=0.037610,other_time=-0.004391,comm_percent=14.9,comp_percent=25.7,error_percent=67.2,efficiency=0.257,iterations=100
matrix_size=8192x100,processes=24,total_time=0.057277,comm_time=0.089693,comp_time=0.006648,error_time=0.048349,other_time=-0.087414,comm_percent=156.6,comp_percent=11.6,error_percent=84.4,efficiency=0.116,iterations=100
matrix_size=16384x100,processes=4,total_time=0.318888,comm_time=0.010471,comp_time=0.089135,error_time=0.183389,other_time=0.035892,comm_percent=3.3,comp_percent=28.0,error_percent=57.5,efficiency=0.280,iterations=100
matrix_size=16384x100,processes=8,total_time=0.167096,comm_time=0.012846,comp_time=0.043575,error_time=0.098844,other_time=0.011830,comm_percent=7.7,comp_percent=26.1,error_percent=59.2,efficiency=0.261,iterations=100
matrix_size=16384x100,processes=12,total_time=0.111334,comm_time=0.014300,comp_time=0.029017,error_time=0.064392,other_time=0.003626,comm_percent=12.8,comp_percent=26.1,error_percent=57.8,efficiency=0.261,iterations=100
matrix_size=16384x100,processes=24,total_time=0.086589,comm_time=0.083487,comp_time=0.014869,error_time=0.065730,other_time=-0.077497,comm_percent=96.4,comp_percent=17.2,error_percent=75.9,efficiency=0.172,iterations=100
matrix_size=32768x100,processes=4,total_time=1.180831,comm_time=0.120098,comp_time=0.384594,error_time=0.549980,other_time=0.126159,comm_percent=10.2,comp_percent=32.6,error_percent=46.6,efficiency=0.326,iterations=100
matrix_size=32768x100,processes=8,total_time=0.616140,comm_time=0.026158,comp_time=0.210408,error_time=0.251271,other_time=0.128303,comm_percent=4.2,comp_percent=34.1,error_percent=40.8,efficiency=0.341,iterations=100
matrix_size=32768x100,processes=12,total_time=0.566002,comm_time=0.065644,comp_time=0.214857,error_time=0.264184,other_time=0.021317,comm_percent=11.6,comp_percent=38.0,error_percent=46.7,efficiency=0.380,iterations=100
matrix_size=32768x100,processes=24,total_time=0.147379,comm_time=0.118292,comp_time=0.031252,error_time=0.099948,other_time=-0.102114,comm_percent=80.3,comp_percent=21.2,error_percent=67.8,efficiency=0.212,iterations=100
