Matrix_Size,Thread_Count,Implementation,Time_seconds,Speedup
500,0,Sequential,0.244949,1.00
500,1,v1,0.330139,0.74
500,1,v2,0.291729,0.84
500,1,v3,0.302900,0.81
500,2,v1,0.151568,1.62
500,2,v2,0.146890,1.67
500,2,v3,0.153488,1.60
500,3,v1,0.102218,2.40
500,3,v2,0.099423,2.46
500,3,v3,0.105218,2.33
500,6,v1,0.054882,4.46
500,6,v2,0.052989,4.62
500,6,v3,0.057655,4.25
500,12,v1,0.030526,8.02
500,12,v2,0.029422,8.33
500,12,v3,0.033444,7.32
500,24,v1,0.027668,8.85
500,24,v2,0.023525,10.41
500,24,v3,0.028402,8.62
1000,0,Sequential,0.802702,1.00
1000,1,v1,1.026519,0.78
1000,1,v2,0.971085,0.83
1000,1,v3,1.003335,0.80
1000,2,v1,0.516228,1.55
1000,2,v2,0.486554,1.65
1000,2,v3,0.509413,1.58
1000,3,v1,0.346230,2.32
1000,3,v2,0.328648,2.44
1000,3,v3,0.346606,2.32
1000,6,v1,0.182364,4.40
1000,6,v2,0.172015,4.67
1000,6,v3,0.185953,4.32
1000,12,v1,0.100332,8.00
1000,12,v2,0.093185,8.61
1000,12,v3,0.103975,7.72
1000,24,v1,0.092211,8.71
1000,24,v2,0.075967,10.57
1000,24,v3,0.088676,9.05
1500,0,Sequential,1.884272,1.00
1500,1,v1,2.304583,0.82
1500,1,v2,2.162480,0.87
1500,1,v3,2.154873,0.87
1500,2,v1,1.091985,1.73
1500,2,v2,1.017599,1.85
1500,2,v3,1.066731,1.77
1500,3,v1,0.749917,2.51
1500,3,v2,0.695453,2.71
1500,3,v3,0.729003,2.58
1500,6,v1,0.436902,4.31
1500,6,v2,0.358515,5.26
1500,6,v3,0.382391,4.93
1500,12,v1,0.212533,8.87
1500,12,v2,0.193451,9.74
1500,12,v3,0.210773,8.94
1500,24,v1,0.210835,8.94
1500,24,v2,0.158625,11.88
1500,24,v3,0.182277,10.34
2000,0,Sequential,3.292042,1.00
2000,1,v1,4.020754,0.82
2000,1,v2,3.680936,0.89
2000,1,v3,3.703334,0.89
2000,2,v1,1.982612,1.66
2000,2,v2,1.842351,1.79
2000,2,v3,1.859850,1.77
2000,3,v1,1.562474,2.11
2000,3,v2,1.277244,2.58
2000,3,v3,1.253131,2.63
2000,6,v1,0.746443,4.41
2000,6,v2,0.683371,4.82
2000,6,v3,0.668077,4.93
2000,12,v1,0.470213,7.00
2000,12,v2,0.432120,7.62
2000,12,v3,0.372997,8.83
2000,24,v1,0.451399,7.29
2000,24,v2,0.385453,8.54
2000,24,v3,0.332935,9.89
2500,0,Sequential,5.018949,1.00
2500,1,v1,6.157967,0.82
2500,1,v2,5.632413,0.89
2500,1,v3,5.691116,0.88
2500,2,v1,3.066607,1.64
2500,2,v2,2.847556,1.76
2500,2,v3,2.852651,1.76
2500,3,v1,2.139482,2.35
2500,3,v2,1.979028,2.54
2500,3,v3,1.935921,2.59
2500,6,v1,1.193494,4.21
2500,6,v2,1.082213,4.64
2500,6,v3,1.026405,4.89
2500,12,v1,0.792873,6.33
2500,12,v2,0.741024,6.77
2500,12,v3,0.578276,8.68
2500,24,v1,0.780721,6.43
2500,24,v2,0.692447,7.25
2500,24,v3,0.525016,9.56
5000,0,Sequential,19.216747,1.00
5000,1,v1,23.550795,0.82
5000,1,v2,21.453578,0.90
5000,1,v3,21.707661,0.89
5000,2,v1,11.790061,1.63
5000,2,v2,10.853728,1.77
5000,2,v3,10.868178,1.77
5000,3,v1,8.374008,2.29
5000,3,v2,7.656479,2.51
5000,3,v3,7.269825,2.64
5000,6,v1,4.687508,4.10
5000,6,v2,4.236367,4.54
5000,6,v3,3.865123,4.97
5000,12,v1,3.205526,5.99
5000,12,v2,2.980072,6.45
5000,12,v3,2.157915,8.91
5000,24,v1,3.184637,6.03
5000,24,v2,2.772361,6.93
5000,24,v3,1.950787,9.85
7500,0,Sequential,41.656348,1.00
7500,1,v1,51.355551,0.81
7500,1,v2,48.104115,0.87
7500,1,v3,48.113064,0.87
7500,2,v1,26.124416,1.59
7500,2,v2,23.992557,1.74
7500,2,v3,24.059366,1.73
7500,3,v1,18.557907,2.24
7500,3,v2,16.783413,2.48
7500,3,v3,16.274090,2.56
7500,6,v1,10.366416,4.02
7500,6,v2,9.308640,4.48
7500,6,v3,8.497048,4.90
7500,12,v1,7.157370,5.82
7500,12,v2,6.646204,6.27
7500,12,v3,4.742103,8.78
7500,24,v1,7.166213,5.81
7500,24,v2,6.226933,6.69
7500,24,v3,4.279306,9.73
10000,0,Sequential,75.189130,1.00
10000,1,v1,92.144536,0.82
10000,1,v2,83.325657,0.90
10000,1,v3,83.700811,0.90
10000,2,v1,45.967912,1.64
10000,2,v2,42.314963,1.78
10000,2,v3,42.317616,1.78
10000,3,v1,33.077175,2.27
10000,3,v2,29.113434,2.58
10000,3,v3,28.268804,2.66
10000,6,v1,18.262224,4.12
10000,6,v2,16.439105,4.57
10000,6,v3,14.927684,5.04
10000,12,v1,12.732125,5.91
10000,12,v2,11.762274,6.39
10000,12,v3,8.296316,9.06
10000,24,v1,13.007782,5.78
10000,24,v2,11.234667,6.69
10000,24,v3,7.583954,9.91
