TestFile,Version,NumThreads,Time_Focal_s,Time_Heat_s,Time_Move_s,Time_Action_s
test_files/test1,Sequential,1,0.000005,0.001069,0.000003,0.000162
test_files/test1,OMP_Improved,6,0.000234,0.007832,0.000181,0.000386
test_files/test1,OMP_Improved,12,0.000486,0.011274,0.000259,0.000483
test_files/test1,OMP_Improved,24,0.000880,0.015625,0.000370,0.000673
test_files/test2,Sequential,1,0.000003,108.427338,0.000028,0.000208
test_files/test2,OMP_Improved,6,0.000168,53.184559,0.000219,0.000334
test_files/test2,OMP_Improved,12,0.000300,35.677995,0.000690,0.000327
test_files/test2,OMP_Improved,24,0.000461,33.876934,0.001534,0.000451
test_files/test3,Sequential,1,0.001960,30.926668,0.569963,4.475358
test_files/test3,OMP_Improved,6,0.020185,18.258603,0.343795,1.578541
test_files/test3,OMP_Improved,12,0.038594,10.781088,0.415339,0.901001
test_files/test3,OMP_Improved,24,0.083103,10.313924,0.312141,0.727282
test_files/test4,Sequential,1,0.004575,17.256713,9.423519,20.894115
test_files/test4,OMP_Improved,6,0.168069,10.431125,2.013077,9.624739
test_files/test4,OMP_Improved,12,0.045391,5.998393,2.362835,5.179131
test_files/test4,OMP_Improved,24,0.043411,5.738904,1.255218,3.813987

